Date,Time,Food,Sales,Temperature
2023-01-11,06:30,Ham Quiche,33,8.32
2023-01-11,06:30,Ham and Cheese Croissant,24,8.32
2023-01-11,06:30,Smoked Salmon Roll,6,8.32
2023-01-11,06:30,Tea,22,8.32
2023-01-11,06:30,Cinnamon Bun,1,8.32
2023-01-11,06:30,Sweets,16,8.32
2023-01-11,06:30,Mini Avocado Sandwich,7,8.32
2023-01-11,06:30,Savouries,42,8.32
2023-01-11,06:30,Mini Salami Sandwich,16,8.32
2023-01-11,06:30,Salmon Bagel,17,8.32
2023-01-11,06:30,Bread,22,8.32
2023-01-11,06:30,Coffee,36,8.32
2023-01-11,06:30,Mushroom Quiche,39,8.32
2023-01-11,06:30,Soup,47,8.32
2023-01-11,06:30,Sausage Roll,23,8.32
2023-01-11,06:30,Chilled Juices,18,8.32
2023-01-11,06:30,Cheese Straw,3,8.32
2023-01-11,06:30,Spinach and Feta Roll,41,8.32
2023-01-11,09:30,Ham Quiche,38,9.21
2023-01-11,09:30,Ham and Cheese Croissant,27,9.21
2023-01-11,09:30,Smoked Salmon Roll,11,9.21
2023-01-11,09:30,Tea,34,9.21
2023-01-11,09:30,Cinnamon Bun,17,9.21
2023-01-11,09:30,Sweets,17,9.21
2023-01-11,09:30,Mini Avocado Sandwich,3,9.21
2023-01-11,09:30,Savouries,28,9.21
2023-01-11,09:30,Mini Salami Sandwich,11,9.21
2023-01-11,09:30,Salmon Bagel,14,9.21
2023-01-11,09:30,Bread,45,9.21
2023-01-11,09:30,Coffee,32,9.21
2023-01-11,09:30,Mushroom Quiche,37,9.21
2023-01-11,09:30,Soup,42,9.21
2023-01-11,09:30,Sausage Roll,20,9.21
2023-01-11,09:30,Chilled Juices,7,9.21
2023-01-11,09:30,Cheese Straw,7,9.21
2023-01-11,09:30,Spinach and Feta Roll,31,9.21
2023-01-11,12:30,Ham Quiche,39,6.66
2023-01-11,12:30,Ham and Cheese Croissant,44,6.66
2023-01-11,12:30,Smoked Salmon Roll,15,6.66
2023-01-11,12:30,Tea,40,6.66
2023-01-11,12:30,Cinnamon Bun,13,6.66
2023-01-11,12:30,Sweets,8,6.66
2023-01-11,12:30,Mini Avocado Sandwich,15,6.66
2023-01-11,12:30,Savouries,46,6.66
2023-01-11,12:30,Mini Salami Sandwich,18,6.66
2023-01-11,12:30,Salmon Bagel,10,6.66
2023-01-11,12:30,Bread,24,6.66
2023-01-11,12:30,Coffee,39,6.66
2023-01-11,12:30,Mushroom Quiche,20,6.66
2023-01-11,12:30,Soup,20,6.66
2023-01-11,12:30,Sausage Roll,22,6.66
2023-01-11,12:30,Chilled Juices,16,6.66
2023-01-11,12:30,Cheese Straw,7,6.66
2023-01-11,12:30,Spinach and Feta Roll,28,6.66
2023-01-11,15:30,Ham Quiche,35,5.08
2023-01-11,15:30,Ham and Cheese Croissant,31,5.08
2023-01-11,15:30,Smoked Salmon Roll,7,5.08
2023-01-11,15:30,Tea,30,5.08
2023-01-11,15:30,Cinnamon Bun,7,5.08
2023-01-11,15:30,Sweets,1,5.08
2023-01-11,15:30,Mini Avocado Sandwich,1,5.08
2023-01-11,15:30,Savouries,47,5.08
2023-01-11,15:30,Mini Salami Sandwich,12,5.08
2023-01-11,15:30,Salmon Bagel,11,5.08
2023-01-11,15:30,Bread,22,5.08
2023-01-11,15:30,Coffee,35,5.08
2023-01-11,15:30,Mushroom Quiche,21,5.08
2023-01-11,15:30,Soup,34,5.08
2023-01-11,15:30,Sausage Roll,21,5.08
2023-01-11,15:30,Chilled Juices,16,5.08
2023-01-11,15:30,Cheese Straw,12,5.08
2023-01-11,15:30,Spinach and Feta Roll,41,5.08
2023-01-11,18:30,Ham Quiche,25,9.41
2023-01-11,18:30,Ham and Cheese Croissant,42,9.41
2023-01-11,18:30,Smoked Salmon Roll,13,9.41
2023-01-11,18:30,Tea,48,9.41
2023-01-11,18:30,Cinnamon Bun,18,9.41
2023-01-11,18:30,Sweets,10,9.41
2023-01-11,18:30,Mini Avocado Sandwich,19,9.41
2023-01-11,18:30,Savouries,37,9.41
2023-01-11,18:30,Mini Salami Sandwich,1,9.41
2023-01-11,18:30,Salmon Bagel,17,9.41
2023-01-11,18:30,Bread,24,9.41
2023-01-11,18:30,Coffee,26,9.41
2023-01-11,18:30,Mushroom Quiche,46,9.41
2023-01-11,18:30,Soup,27,9.41
2023-01-11,18:30,Sausage Roll,37,9.41
2023-01-11,18:30,Chilled Juices,7,9.41
2023-01-11,18:30,Cheese Straw,18,9.41
2023-01-11,18:30,Spinach and Feta Roll,31,9.41
2023-01-12,06:30,Ham Quiche,42,-2.02
2023-01-12,06:30,Ham and Cheese Croissant,20,-2.02
2023-01-12,06:30,Smoked Salmon Roll,14,-2.02
2023-01-12,06:30,Tea,28,-2.02
2023-01-12,06:30,Cinnamon Bun,14,-2.02
2023-01-12,06:30,Sweets,11,-2.02
