Date,Time,Food,Sales,Temperature
2023-01-11,06:30,Ham Quiche,24,8.32
2023-01-11,06:30,Ham and Cheese Croissant,20,8.32
2023-01-11,06:30,Smoked Salmon Roll,1,8.32
2023-01-11,06:30,Tea,38,8.32
2023-01-11,06:30,Cinnamon Bun,15,8.32
2023-01-11,06:30,Sweets,15,8.32
2023-01-11,06:30,Mini Avocado Sandwich,12,8.32
2023-01-11,06:30,Savouries,20,8.32
2023-01-11,06:30,Mini Salami Sandwich,14,8.32
2023-01-11,06:30,Salmon Bagel,8,8.32
2023-01-11,06:30,Bread,36,8.32
2023-01-11,06:30,Coffee,31,8.32
2023-01-11,06:30,Mushroom Quiche,33,8.32
2023-01-11,06:30,Soup,46,8.32
2023-01-11,06:30,Sausage Roll,48,8.32
2023-01-11,06:30,Chilled Juices,17,8.32
2023-01-11,06:30,Cheese Straw,14,8.32
2023-01-11,06:30,Spinach and Feta Roll,43,8.32
2023-01-11,09:30,Ham Quiche,23,9.21
2023-01-11,09:30,Ham and Cheese Croissant,12,9.21
2023-01-11,09:30,Smoked Salmon Roll,7,9.21
2023-01-11,09:30,Tea,39,9.21
2023-01-11,09:30,Cinnamon Bun,2,9.21
2023-01-11,09:30,Sweets,17,9.21
2023-01-11,09:30,Mini Avocado Sandwich,10,9.21
2023-01-11,09:30,Savouries,11,9.21
2023-01-11,09:30,Mini Salami Sandwich,9,9.21
2023-01-11,09:30,Salmon Bagel,2,9.21
2023-01-11,09:30,Bread,38,9.21
2023-01-11,09:30,Coffee,31,9.21
2023-01-11,09:30,Mushroom Quiche,27,9.21
2023-01-11,09:30,Soup,33,9.21
2023-01-11,09:30,Sausage Roll,15,9.21
2023-01-11,09:30,Chilled Juices,16,9.21
2023-01-11,09:30,Cheese Straw,18,9.21
2023-01-11,09:30,Spinach and Feta Roll,17,9.21
2023-01-11,12:30,Ham Quiche,41,6.66
2023-01-11,12:30,Ham and Cheese Croissant,41,6.66
2023-01-11,12:30,Smoked Salmon Roll,2,6.66
2023-01-11,12:30,Tea,40,6.66
2023-01-11,12:30,Cinnamon Bun,15,6.66
2023-01-11,12:30,Sweets,2,6.66
2023-01-11,12:30,Mini Avocado Sandwich,11,6.66
2023-01-11,12:30,Savouries,14,6.66
2023-01-11,12:30,Mini Salami Sandwich,13,6.66
2023-01-11,12:30,Salmon Bagel,6,6.66
2023-01-11,12:30,Bread,29,6.66
